scenario,rep,provider_gen,model_gen,team_id,severity,code,detail
S_full_high_noise,rep_11,claude,claude-haiku-4-5,HIGH_00186,HIGH,COUNT,"All threads have fewer messages than the minimum required (14). TH1 has 12, TH2 has 12, TH3 has 13, TH4 has 13, and TH5 has 13 messages."
S_full_high_noise,rep_11,claude,claude-haiku-4-5,HIGH_00186,HIGH,ARTIFACT_MISSING,Task T2 is required in thread TH1 but is missing from all artifact_refs in that thread.
S_full_high_noise,rep_11,claude,claude-haiku-4-5,HIGH_00186,HIGH,ARTIFACT_MISSING,Task T10 is required in thread TH4 but is missing from all artifact_refs in that thread.
S_full_high_noise,rep_11,claude,claude-haiku-4-5,HIGH_00186,HIGH,LEAK,The forbidden term 'performance' was found in the text of message M51.
S_full_high_noise,rep_11,claude,claude-haiku-4-5,HIGH_00195,HIGH,PARTICIPATION_MISSING,Participant 55101 never speaks in any thread.
S_full_high_noise,rep_11,claude,claude-haiku-4-5,HIGH_00195,HIGH,COUNT,"Threads TH1 (11 messages), TH2 (13 messages), and TH3 (13 messages) do not meet the minimum requirement of 15 messages per thread."
S_full_high_noise,rep_11,claude,claude-haiku-4-5,HIGH_00195,HIGH,ARTIFACT_MISSING,"Task T8 is required to be referenced in TH5 according to the blueprint, but it is missing from the artifact_refs of all messages in that thread."
S_full_high_noise,rep_11,claude,claude-haiku-4-5,HIGH_00195,HIGH,LEAK,"The text contains the forbidden word 'label' in multiple messages (e.g., M3, M15, M16), violating the strict anti-leakage rule."
S_full_high_noise,rep_11,claude,claude-haiku-4-5,HIGH_00269,HIGH,COUNT,"Thread TH2 contains 12 messages, which is below the expected minimum of 15 messages per thread and outside the blueprint's target_messages_range of 15-22."
S_full_high_noise,rep_11,claude,claude-haiku-4-5,HIGH_00269,HIGH,ARTIFACT_MISSING,"Task T3 is required by the blueprint to be referenced in TH2, but it is missing from the artifact_refs of all messages in that thread."
S_full_high_noise,rep_11,claude,claude-haiku-4-5,HIGH_00269,MID,VOICE_SIMILARITY,"Participants use repetitive and robotic phrasing to confirm decisions (e.g., 'D1 is locked', 'D3 is locked', 'D7 is locked') and acknowledge tasks, lacking distinct natural voices."
S_full_high_noise,rep_11,claude,claude-haiku-4-5,HIGH_00328,HIGH,ARTIFACT_MISSING,"Task T5 is required to be referenced in thread TH3 according to the blueprint, but it is missing from the artifact_refs of all messages in that thread."
